time;NETWORK__BUS__A_TN_Upu_value;NETWORK__BUS__B_TN_Upu_value;NETWORK__BUS__A2_TN_Upu_value;NETWORK__BUS__B2_TN_Upu_value;NETWORK__BUS__C_TN_Upu_value;NETWORK__BUS__E_TN_Upu_value;NETWORK__BUS__F_TN_Upu_value;GFLVSC_WP1_injectorGFL_PGenPu;GFLVSC_WP1_injectorGFL_QGenPu;GFLVSC_WP1_injectorGFL_UConvPu;GFLVSC_WP1_injectorGFL_UPccPu;GFLVSC_WP2_injectorGFL_PGenPu;GFLVSC_WP2_injectorGFL_QGenPu;GFLVSC_WP2_injectorGFL_UConvPu;GFLVSC_WP2_injectorGFL_UPccPu;GFLVSC_HVDC1_injectorGFL_PGenPu;GFLVSC_HVDC1_injectorGFL_QGenPu;GFLVSC_HVDC1_injectorGFL_UConvPu;GFLVSC_HVDC1_injectorGFL_UPccPu;GFLVSC_HVDC2_injectorGFL_PGenPu;GFLVSC_HVDC2_injectorGFL_QGenPu;GFLVSC_HVDC2_injectorGFL_UConvPu;GFLVSC_HVDC2_injectorGFL_UPccPu;InfBus_infiniteBus_UBus0Pu;InfBus_infiniteBus_UPhaseBus0;
0.01900;1.01651;1.01847;1.05093;1.02592;1.00057;1.06872;1.03741;0.82985;-0.06643;1.06924;1.06872;0.82989;-0.30703;1.01061;1.03741;0.95377;-0.04476;1.02434;1.01651;0.82008;0.29646;1.07282;1.01847;1.88669;-1.00574;
0.02000;1.01651;1.01847;1.05093;1.02592;1.00057;1.06872;1.03741;0.82985;-0.06643;1.06924;1.06872;0.82989;-0.30703;1.01061;1.03741;0.95377;-0.04477;1.02434;1.01651;0.82008;0.29646;1.07282;1.01847;1.88669;-1.00574;
0.02100;1.01651;1.01847;1.05093;1.02592;1.00057;1.06872;1.03741;0.82985;-0.06643;1.06924;1.06872;0.82989;-0.30703;1.01061;1.03741;0.95377;-0.04477;1.02434;1.01651;0.82008;0.29646;1.07282;1.01847;1.88669;-1.00574;
0.02200;1.01651;1.01847;1.05093;1.02592;1.00057;1.06872;1.03741;0.82985;-0.06643;1.06924;1.06872;0.82989;-0.30703;1.01061;1.03741;0.95377;-0.04477;1.02434;1.01651;0.82008;0.29646;1.07281;1.01847;1.88669;-1.00574;
0.02300;1.01651;1.01847;1.05093;1.02592;1.00057;1.06872;1.03741;0.82985;-0.06643;1.06924;1.06872;0.82989;-0.30703;1.01061;1.03741;0.95377;-0.04477;1.02434;1.01651;0.82008;0.29646;1.07281;1.01847;1.88669;-1.00574;
0.02400;1.01651;1.01847;1.05093;1.02592;1.00057;1.06872;1.03741;0.82985;-0.06643;1.06924;1.06872;0.82989;-0.30703;1.01061;1.03741;0.95377;-0.04477;1.02434;1.01651;0.82008;0.29646;1.07281;1.01847;1.88669;-1.00574;
0.02500;1.01651;1.01847;1.05093;1.02592;1.00057;1.06872;1.03741;0.82985;-0.06643;1.06924;1.06872;0.82989;-0.30703;1.01061;1.03741;0.95377;-0.04477;1.02434;1.01651;0.82008;0.29646;1.07281;1.01847;1.88669;-1.00574;
0.02600;1.01651;1.01847;1.05093;1.02592;1.00057;1.06872;1.03741;0.82985;-0.06643;1.06924;1.06872;0.82989;-0.30703;1.01061;1.03741;0.95377;-0.04477;1.02434;1.01651;0.82008;0.29646;1.07281;1.01847;1.88669;-1.00574;
0.02700;1.01651;1.01847;1.05093;1.02592;1.00057;1.06872;1.03741;0.82985;-0.06643;1.06924;1.06872;0.82989;-0.30703;1.01061;1.03741;0.95377;-0.04477;1.02434;1.01651;0.82008;0.29646;1.07281;1.01847;1.88669;-1.00574;
0.02800;1.01651;1.01847;1.05093;1.02592;1.00057;1.06872;1.03741;0.82985;-0.06643;1.06924;1.06872;0.82989;-0.30703;1.01060;1.03741;0.95377;-0.04477;1.02434;1.01651;0.82008;0.29646;1.07281;1.01847;1.88669;-1.00574;
0.02900;1.01651;1.01847;1.05093;1.02592;1.00057;1.06872;1.03741;0.82985;-0.06643;1.06924;1.06872;0.82989;-0.30703;1.01060;1.03741;0.95377;-0.04477;1.02434;1.01651;0.82008;0.29645;1.07281;1.01847;1.88669;-1.00574;
0.03000;1.01651;1.01847;1.05093;1.02592;1.00057;1.06872;1.03741;0.82985;-0.06643;1.06924;1.06872;0.82989;-0.30703;1.01060;1.03741;0.95377;-0.04477;1.02434;1.01651;0.82007;0.29645;1.07281;1.01847;1.88669;-1.00574;
0.03100;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03741;0.82985;-0.06643;1.06924;1.06872;0.82989;-0.30703;1.01060;1.03741;0.95377;-0.04478;1.02434;1.01651;0.82007;0.29645;1.07281;1.01847;1.88669;-1.00574;
0.03200;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03741;0.82985;-0.06643;1.06924;1.06872;0.82989;-0.30703;1.01060;1.03741;0.95377;-0.04478;1.02434;1.01651;0.82007;0.29645;1.07281;1.01847;1.88669;-1.00574;
0.03300;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03741;0.82985;-0.06643;1.06924;1.06872;0.82989;-0.30703;1.01060;1.03741;0.95377;-0.04478;1.02434;1.01651;0.82007;0.29645;1.07281;1.01847;1.88669;-1.00574;
0.03400;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03741;0.82985;-0.06643;1.06924;1.06872;0.82989;-0.30703;1.01060;1.03741;0.95377;-0.04478;1.02434;1.01651;0.82007;0.29645;1.07281;1.01847;1.88669;-1.00574;
