time;NETWORK__BUS__A_TN_Upu_value;NETWORK__BUS__B_TN_Upu_value;NETWORK__BUS__A2_TN_Upu_value;NETWORK__BUS__B2_TN_Upu_value;NETWORK__BUS__C_TN_Upu_value;NETWORK__BUS__E_TN_Upu_value;NETWORK__BUS__F_TN_Upu_value;GFLVSC_WP1_injectorGFL_PGenPu;GFLVSC_WP1_injectorGFL_QGenPu;GFLVSC_WP1_injectorGFL_UConvPu;GFLVSC_WP1_injectorGFL_UPccPu;GFLVSC_WP2_injectorGFL_PGenPu;GFLVSC_WP2_injectorGFL_QGenPu;GFLVSC_WP2_injectorGFL_UConvPu;GFLVSC_WP2_injectorGFL_UPccPu;GFLVSC_HVDC1_injectorGFL_PGenPu;GFLVSC_HVDC1_injectorGFL_QGenPu;GFLVSC_HVDC1_injectorGFL_UConvPu;GFLVSC_HVDC1_injectorGFL_UPccPu;GFLVSC_HVDC2_injectorGFL_PGenPu;GFLVSC_HVDC2_injectorGFL_QGenPu;GFLVSC_HVDC2_injectorGFL_UConvPu;GFLVSC_HVDC2_injectorGFL_UPccPu;InfBus_infiniteBus_UBus0Pu;InfBus_infiniteBus_UPhaseBus0;
0.19000;1.00757;1.00541;1.03186;0.99254;1.00000;1.04755;0.99972;0.82995;-0.06110;1.04885;1.04755;0.82987;-0.32640;0.96999;0.99972;-0.93766;-0.08493;1.00000;1.00757;-0.94558;0.20362;1.04083;1.00541;0.99999;0.00039;
0.20000;1.00759;1.00543;1.03188;0.99256;1.00001;1.04757;0.99974;0.82997;-0.06109;1.04887;1.04757;0.82988;-0.32640;0.97001;0.99974;-0.93768;-0.08493;1.00002;1.00759;-0.94560;0.20362;1.04085;1.00543;0.99999;0.00039;
0.21000;1.00757;1.00541;1.03186;0.99254;1.00000;1.04755;0.99972;0.82995;-0.06109;1.04886;1.04755;0.82987;-0.32640;0.96999;0.99972;-0.93766;-0.08493;1.00000;1.00757;-0.94558;0.20362;1.04083;1.00541;0.99999;0.00039;
0.22000;1.00758;1.00543;1.03188;0.99256;1.00001;1.04757;0.99974;0.82997;-0.06109;1.04887;1.04757;0.82988;-0.32640;0.97001;0.99974;-0.93767;-0.08493;1.00002;1.00758;-0.94560;0.20362;1.04085;1.00543;0.99999;0.00039;
0.23000;1.00757;1.00541;1.03186;0.99255;1.00000;1.04755;0.99972;0.82995;-0.06109;1.04886;1.04755;0.82987;-0.32640;0.97000;0.99972;-0.93766;-0.08493;1.00000;1.00757;-0.94558;0.20362;1.04083;1.00541;0.99999;0.00039;
0.24000;1.00758;1.00543;1.03188;0.99256;1.00001;1.04756;0.99974;0.82996;-0.06109;1.04887;1.04756;0.82988;-0.32640;0.97001;0.99974;-0.93767;-0.08493;1.00002;1.00758;-0.94559;0.20362;1.04085;1.00543;0.99999;0.00039;
0.25000;1.00757;1.00541;1.03186;0.99255;1.00000;1.04755;0.99973;0.82995;-0.06109;1.04886;1.04755;0.82987;-0.32640;0.97000;0.99973;-0.93766;-0.08493;1.00001;1.00757;-0.94558;0.20362;1.04083;1.00541;0.99999;0.00039;
0.26000;1.00758;1.00543;1.03188;0.99256;1.00001;1.04756;0.99974;0.82996;-0.06109;1.04887;1.04756;0.82988;-0.32640;0.97001;0.99974;-0.93767;-0.08493;1.00002;1.00758;-0.94559;0.20362;1.04085;1.00543;0.99999;0.00039;
0.27000;1.00757;1.00542;1.03186;0.99255;1.00000;1.04755;0.99973;0.82996;-0.06109;1.04886;1.04755;0.82987;-0.32640;0.97000;0.99973;-0.93766;-0.08493;1.00001;1.00757;-0.94558;0.20362;1.04084;1.00542;0.99999;0.00039;
0.28000;1.00758;1.00543;1.03187;0.99256;1.00001;1.04756;0.99974;0.82996;-0.06109;1.04887;1.04756;0.82988;-0.32640;0.97001;0.99974;-0.93767;-0.08493;1.00002;1.00758;-0.94559;0.20362;1.04084;1.00543;0.99999;0.00039;
