time;NETWORK__BUS__A_TN_Upu_value;NETWORK__BUS__B_TN_Upu_value;NETWORK__BUS__A2_TN_Upu_value;NETWORK__BUS__B2_TN_Upu_value;NETWORK__BUS__C_TN_Upu_value;NETWORK__BUS__E_TN_Upu_value;NETWORK__BUS__F_TN_Upu_value;GFLVSC_WP1_injectorGFL_PGenPu;GFLVSC_WP1_injectorGFL_QGenPu;GFLVSC_WP1_injectorGFL_UConvPu;GFLVSC_WP1_injectorGFL_UPccPu;GFLVSC_WP2_injectorGFL_PGenPu;GFLVSC_WP2_injectorGFL_QGenPu;GFLVSC_WP2_injectorGFL_UConvPu;GFLVSC_WP2_injectorGFL_UPccPu;GFLVSC_HVDC1_injectorGFL_PGenPu;GFLVSC_HVDC1_injectorGFL_QGenPu;GFLVSC_HVDC1_injectorGFL_UConvPu;GFLVSC_HVDC1_injectorGFL_UPccPu;GFLVSC_HVDC2_injectorGFL_PGenPu;GFLVSC_HVDC2_injectorGFL_QGenPu;GFLVSC_HVDC2_injectorGFL_UConvPu;GFLVSC_HVDC2_injectorGFL_UPccPu;InfBus_infiniteBus_UBus0Pu;InfBus_infiniteBus_UPhaseBus0;
0.00000;1.00773;1.00558;1.03203;0.99272;1.00014;1.04772;0.99991;0.83009;-0.06109;1.04903;1.04772;0.83003;-0.32641;0.97018;0.99991;-0.93781;-0.08494;1.00016;1.00773;-0.94574;0.20367;1.04100;1.00558;0.99999;0.00039;
0.01000;1.00756;1.00540;1.03184;0.99253;0.99999;1.04753;0.99971;0.82993;-0.06113;1.04883;1.04753;0.82986;-0.32638;0.96999;0.99971;-0.93765;-0.08491;0.99999;1.00756;-0.94557;0.20362;1.04082;1.00540;0.99999;0.00039;
0.02000;1.00763;1.00548;1.03193;0.99261;1.00006;1.04762;0.99979;0.83000;-0.06109;1.04893;1.04762;0.82993;-0.32641;0.97006;0.99979;-0.93772;-0.08493;1.00007;1.00763;-0.94564;0.20363;1.04090;1.00548;0.99999;0.00039;
0.03000;1.00756;1.00540;1.03185;0.99253;0.99999;1.04754;0.99971;0.82994;-0.06109;1.04885;1.04754;0.82986;-0.32641;0.96998;0.99971;-0.93765;-0.08492;1.00000;1.00756;-0.94557;0.20362;1.04083;1.00540;0.99999;0.00039;
0.04000;1.00761;1.00546;1.03191;0.99259;1.00004;1.04760;0.99977;0.82999;-0.06107;1.04891;1.04760;0.82990;-0.32642;0.97004;0.99977;-0.93770;-0.08493;1.00005;1.00761;-0.94562;0.20363;1.04088;1.00546;0.99999;0.00039;
0.05000;1.00756;1.00540;1.03185;0.99253;0.99999;1.04754;0.99971;0.82994;-0.06109;1.04885;1.04754;0.82985;-0.32641;0.96998;0.99971;-0.93765;-0.08493;0.99999;1.00756;-0.94557;0.20362;1.04082;1.00540;0.99999;0.00039;
0.06000;1.00760;1.00544;1.03190;0.99257;1.00003;1.04758;0.99975;0.82997;-0.06107;1.04889;1.04758;0.82989;-0.32641;0.97002;0.99975;-0.93768;-0.08494;1.00003;1.00760;-0.94561;0.20362;1.04086;1.00544;0.99999;0.00039;
0.07000;1.00756;1.00540;1.03185;0.99253;0.99999;1.04754;0.99971;0.82994;-0.06109;1.04885;1.04754;0.82986;-0.32640;0.96998;0.99971;-0.93765;-0.08493;0.99999;1.00756;-0.94557;0.20361;1.04082;1.00540;0.99999;0.00039;
0.08000;1.00759;1.00543;1.03189;0.99257;1.00002;1.04757;0.99975;0.82997;-0.06108;1.04888;1.04757;0.82988;-0.32641;0.97002;0.99975;-0.93768;-0.08494;1.00002;1.00759;-0.94560;0.20362;1.04085;1.00543;0.99999;0.00039;
0.09000;1.00756;1.00541;1.03186;0.99254;1.00000;1.04754;0.99972;0.82994;-0.06109;1.04885;1.04754;0.82986;-0.32640;0.96999;0.99972;-0.93765;-0.08493;1.00000;1.00756;-0.94557;0.20361;1.04083;1.00541;0.99999;0.00039;
0.10000;1.00759;1.00543;1.03188;0.99256;1.00001;1.04757;0.99974;0.82996;-0.06108;1.04888;1.04757;0.82988;-0.32640;0.97001;0.99974;-0.93767;-0.08493;1.00002;1.00759;-0.94560;0.20362;1.04085;1.00543;0.99999;0.00039;
