X axis;1VSC_Measurement_Control/idref;1VSC_Measurement_Control/iqref;1VSC_Measurement_Control/ppcc;1VSC_Measurement_Control/qpcc;p3/va_t;p5/va_t;
Time (s);;;;;;;

744.6E-3;903.2242543E-3;-118.37530286E-3;936.29117337E-3;98.160498852E-3;-43.059786999E3;3.1429454272E3;
744.65E-3;903.17262595E-3;-118.32991251E-3;936.22224924E-3;98.163987761E-3;-48.218755182E3;-2.02248041E3;
744.7E-3;903.12103205E-3;-118.28451333E-3;936.15334331E-3;98.167392532E-3;-53.365906326E3;-7.187458463E3;
744.75E-3;903.0694726E-3;-118.23910538E-3;936.08445559E-3;98.170713263E-3;-58.499974113E3;-12.350716577E3;
744.8E-3;903.01794759E-3;-118.19368875E-3;936.01558613E-3;98.17395005E-3;-63.619695433E3;-17.510983008E3;
744.85E-3;902.96645701E-3;-118.14826352E-3;935.94673495E-3;98.177102992E-3;-68.72381069E3;-22.666986734E3;
744.9E-3;902.91500085E-3;-118.10282977E-3;935.87790209E-3;98.180172187E-3;-73.811064112E3;-27.817457769E3;
744.95E-3;902.8635791E-3;-118.05738757E-3;935.80908757E-3;98.183157734E-3;-78.880204064E3;-32.961127476E3;
745E-3;902.81219176E-3;-118.011937E-3;935.74029142E-3;98.186059733E-3;-83.929983353E3;-38.096728879E3;
745.05E-3;902.76083881E-3;-117.96647814E-3;935.67151367E-3;98.188878284E-3;-88.959159536E3;-43.222996976E3;
745.1E-3;902.70952024E-3;-117.92101107E-3;935.60275436E-3;98.191613488E-3;-93.966495224E3;-48.338669052E3;
745.15E-3;902.65823605E-3;-117.87553586E-3;935.53401351E-3;98.194265445E-3;-98.950758392E3;-53.442484987E3;
745.2E-3;902.60698622E-3;-117.83005259E-3;935.46529115E-3;98.196834259E-3;-103.91072267E3;-58.533187568E3;
745.25E-3;902.55577075E-3;-117.78456135E-3;935.39658733E-3;98.19932003E-3;-108.84516768E3;-63.609522799E3;
745.3E-3;902.50458963E-3;-117.7390622E-3;935.32790205E-3;98.201722862E-3;-113.75287926E3;-68.67024021E3;
745.35E-3;902.45344284E-3;-117.69355523E-3;935.25923537E-3;98.204042858E-3;-118.63264986E3;-73.714093167E3;
745.4E-3;902.40233039E-3;-117.64804052E-3;935.1905873E-3;98.206280122E-3;-123.48327878E3;-78.739839173E3;
