"time","GridFollowingControl.activePowerLoop.idRefPu","GridFollowingControl.reactivePowerLoop.iqRefPu","InjectorGFL.PGenPu","InjectorGFL.QGenPu","InjectorGFL.UConvPu","InjectorGFL.UPccPu"
0,0.85,-0.03994999999999998,0.8333389297485703,0.03916859126725408,0.9987872558167199,1.000006746960555
0.001,0.8499999438767969,-0.03994965840741537,0.8333388642945118,0.03916834752698854,0.9987871650798945,1.000006691675958
0.002,0.8499998889110065,-0.03994932450407257,0.8333387454363141,0.03916792940529596,0.9987870095560143,1.000006597146349
0.003,0.8499998353342963,-0.03994899958923434,0.833338614798778,0.03916747565304819,0.9987868408115714,1.000006494638574
0.004,0.8499997831564704,-0.03994868371403942,0.8333384745501801,0.03916699352226227,0.9987866615419021,1.000006385787179
0.005,0.849999732360428,-0.03994837661857149,0.8333383377125719,0.03916652659862777,0.9987864879466101,1.000006280416502
0.006,0.8499996829486973,-0.0399480783470614,0.8333382017897325,0.03916606652768058,0.9987863169205752,1.000006176643433
0.007,0.8499996347331391,-0.03994778743519838,0.8333380724375443,0.03916563150683416,0.9987861552229631,1.00000607855947
0.008,0.8499995877302494,-0.03994750401218642,0.8333379490796754,0.03916521967100504,0.9987860021609553,1.000005985745117
0.008999999999999999,0.84999954196072,-0.03994722824009726,0.8333378309931789,0.03916482868066432,0.9987858568654893,1.00000589767416
0.01,0.8499994974245509,-0.03994696011893088,0.8333377181780606,0.03916445853580149,0.9987857193365652,1.0000058143466
0.011,0.8499994566655099,-0.03994671464128005,0.8333376187420453,0.03916414096152755,0.99878560139259,1.000005742977542
0.012,0.8499994168527526,-0.03994647478649484,0.8333375224822674,0.03916383584192797,0.9987854880884106,1.000005674441298
0.013,0.8499993770399952,-0.03994623493170966,0.8333374262224824,0.0391635307223691,0.9987853747842311,1.000005605905055
0.014,0.8499993372272378,-0.03994599507692446,0.8333373299626896,0.03916322560285095,0.9987852614800518,1.000005537368813
0.015,0.8499993017082649,-0.03994577950264114,0.8333372468836867,0.03916296842848846,0.9987851660183463,1.000005479693093
0.016,0.8499992683523261,-0.03994557615988887,0.8333371704446315,0.03916273540695497,0.9987850795449545,1.000005427488464
0.017,0.8499992349963873,-0.03994537281713657,0.8333370940055752,0.03916250238544536,0.9987849930715629,1.000005375283834
