time;GFLVSC_injectorGFL_PGenPu;GFLVSC_injectorGFL_QGenPu;GFLVSC_injectorGFL_UConvPu;GFLVSC_injectorGFL_UPccPu;
0.000000;0.833338;0.039167;0.998787;1.000006;
0.000010;0.833338;0.039167;0.998787;1.000006;
0.000020;0.833338;0.039167;0.998787;1.000007;
0.000040;0.833338;0.039167;0.998787;1.000007;
0.000080;0.833338;0.039168;0.998787;1.000007;
0.000160;0.833338;0.039168;0.998787;1.000007;
0.000320;0.833338;0.039168;0.998787;1.000007;
0.000640;0.833338;0.039168;0.998787;1.000007;
0.001280;0.833338;0.039168;0.998787;1.000007;
0.002000;0.833338;0.039168;0.998787;1.000007;
0.002000;0.833338;0.039168;0.998787;1.000007;
0.002010;0.833338;0.039168;0.998787;1.000007;
0.002020;0.833338;0.039168;0.998787;1.000007;
0.002040;0.833338;0.039168;0.998787;1.000007;
0.002080;0.833338;0.039168;0.998787;1.000007;
0.002160;0.833338;0.039168;0.998787;1.000007;
0.002320;0.833338;0.039168;0.998787;1.000007;
0.002640;0.833338;0.039167;0.998787;1.000006;
0.003280;0.833338;0.039167;0.998787;1.000006;
0.004560;0.833338;0.039166;0.998786;1.000006;
0.007120;0.833338;0.039165;0.998786;1.000006;
0.012240;0.833337;0.039163;0.998785;1.000006;
0.019746;0.833337;0.039162;0.998785;1.000005;
0.019746;0.833337;0.039162;0.998785;1.000005;
0.019756;0.833337;0.039162;0.998785;1.000005;
0.019766;0.833337;0.039162;0.998785;1.000005;
0.019786;0.833337;0.039162;0.998785;1.000005;
0.019826;0.833337;0.039162;0.998785;1.000005;
0.019906;0.833337;0.039162;0.998785;1.000005;
0.020066;0.833336;0.039161;0.998785;1.000005;
0.020386;0.833336;0.039161;0.998785;1.000005;
0.021026;0.833336;0.039161;0.998785;1.000005;
0.022306;0.833336;0.039161;0.998784;1.000005;
0.024866;0.833336;0.039160;0.998784;1.000005;
0.029986;0.833336;0.039159;0.998784;1.000005;
0.040226;0.833335;0.039157;0.998783;1.000004;
0.060706;0.833334;0.039155;0.998782;1.000004;
0.101666;0.833333;0.039151;0.998781;1.000003;
0.183586;0.833333;0.039149;0.998780;1.000002;
0.347426;0.833333;0.039148;0.998780;1.000002;
0.500000;0.833333;0.039148;0.998780;1.000002;
0.500000;0.833333;0.039148;0.998780;1.000002;
0.500010;0.833313;0.039144;0.998779;1.000002;
0.500020;0.833294;0.039141;0.998778;1.000002;
0.500040;0.833257;0.039133;0.998775;1.000002;
0.500080;0.833183;0.039116;0.998771;1.000002;
0.500160;0.833041;0.039082;0.998760;1.000000;
0.500320;0.832783;0.039007;0.998737;0.999994;
0.500640;0.832343;0.038851;0.998687;0.999977;
0.501280;0.831671;0.038555;0.998588;0.999938;
0.501920;0.831187;0.038306;0.998504;0.999901;
0.503200;0.830430;0.037963;0.998389;0.999854;
0.505760;0.829298;0.037722;0.998320;0.999849;
0.508320;0.828191;0.037588;0.998292;0.999869;
0.513440;0.826101;0.037526;0.998309;0.999951;
0.518560;0.824125;0.037577;0.998367;1.000054;
0.528800;0.820545;0.037822;0.998528;1.000278;
0.539040;0.817280;0.038075;0.998687;1.000488;
0.549280;0.814296;0.038283;0.998823;1.000674;
0.569760;0.808906;0.038562;0.999030;1.000986;
0.590240;0.804360;0.038636;0.999143;1.001208;
0.631200;0.797328;0.038423;0.999194;1.001471;
0.668064;0.792939;0.038022;0.999124;1.001570;
0.704928;0.789868;0.037617;0.999027;1.001609;
0.741792;0.787753;0.037282;0.998939;1.001622;
0.778656;0.786312;0.037037;0.998873;1.001627;
0.815520;0.785337;0.036873;0.998829;1.001631;
0.852384;0.784681;0.036769;0.998801;1.001635;
0.926112;0.783877;0.036659;0.998775;1.001643;
0.999840;0.783521;0.036627;0.998769;1.001651;
1.073568;0.783382;0.036626;0.998771;1.001657;
1.147296;0.783335;0.036633;0.998775;1.001661;
1.155817;0.783331;0.036634;0.998775;1.001661;
1.155817;0.783331;0.036634;0.998775;1.001661;
1.155827;0.783331;0.036634;0.998775;1.001661;
1.155837;0.783331;0.036634;0.998775;1.001661;
1.155857;0.783331;0.036634;0.998775;1.001661;
1.155897;0.783331;0.036634;0.998775;1.001661;
1.155977;0.783331;0.036634;0.998775;1.001661;
1.156137;0.783331;0.036634;0.998775;1.001661;
1.156457;0.783331;0.036634;0.998775;1.001661;
1.156861;0.783331;0.036634;0.998775;1.001661;
1.156861;0.783331;0.036634;0.998775;1.001661;
1.156871;0.783331;0.036634;0.998775;1.001661;
1.156881;0.783331;0.036634;0.998775;1.001661;
1.156901;0.783331;0.036634;0.998775;1.001661;
1.156941;0.783331;0.036634;0.998775;1.001661;
1.157021;0.783331;0.036634;0.998775;1.001661;
1.157181;0.783331;0.036634;0.998775;1.001661;
1.157501;0.783331;0.036634;0.998775;1.001661;
1.158141;0.783331;0.036634;0.998775;1.001661;
1.159421;0.783331;0.036634;0.998775;1.001661;
1.161981;0.783332;0.036635;0.998775;1.001661;
1.167101;0.783332;0.036635;0.998776;1.001662;
1.177341;0.783332;0.036637;0.998776;1.001662;
1.197821;0.783333;0.036639;0.998777;1.001662;
1.238781;0.783333;0.036642;0.998778;1.001663;
1.320701;0.783334;0.036645;0.998779;1.001664;
1.484541;0.783334;0.036648;0.998780;1.001664;
1.812221;0.783333;0.036647;0.998780;1.001664;
2.000000;0.783333;0.036647;0.998780;1.001664;
