"time","GridFollowingControl.activePowerLoop.idRefPu","GridFollowingControl.reactivePowerLoop.iqRefPu","InjectorGFL.PGenPu","InjectorGFL.QGenPu","InjectorGFL.UConvPu","InjectorGFL.UPccPu"
1.584,0.797673650717596,-0.03731922657422151,0.7833346517544113,0.03664820581211833,0.9987805207175279,1.001664444814666
1.585,0.7976736374240611,-0.03731922283755532,0.7833346386489163,0.0366482036082598,0.9987805201231404,1.00166444486118
1.586,0.7976736244770994,-0.03731921915442792,0.7833346258835968,0.03664820144834847,0.9987805195391826,1.00166444490333
1.587,0.7976736118812157,-0.0373192155249081,0.7833346134628092,0.03664819933258155,0.9987805189656501,1.001664444940976
1.588,0.7976735996409847,-0.03731921194907159,0.7833346013909779,0.03664819726116159,0.9987805184025395,1.001664444973971
1.589,0.7976735840136364,-0.03731920810622329,0.7833345860116241,0.03664819488546739,0.9987805177844072,1.001664445078664
1.59,0.7976735683697861,-0.03731920428457379,0.783334570617566,0.0366481925190281,0.9987805171700298,1.001664445186201
1.591,0.7976735528811263,-0.03731920049850752,0.7833345553764897,0.0366481901775991,0.9987805165623209,1.001664445293025
1.592,0.7976735375474943,-0.03731919674769923,0.7833345402881898,0.03664818786093735,0.9987805159611927,1.001664445399086
1.593,0.7976735223687486,-0.03731919303182667,0.7833345253524823,0.03664818556880082,0.9987805153665572,1.001664445504336
1.594,0.797673507344771,-0.03731918935057064,0.7833345105692039,0.03664818330094843,0.9987805147783262,1.001664445608723
1.595,0.797673492475464,-0.03731918570361489,0.7833344959382125,0.03664818105713979,0.9987805141964121,1.001664445712198
1.596,0.7976734777607536,-0.03731918209064614,0.7833344814593879,0.03664817883713568,0.9987805136207264,1.001664445814707
1.597,0.7976734632005863,-0.03731917851135425,0.7833344671326302,0.0366481766406976,0.9987805130511813,1.0016644459162
1.598,0.797673448794932,-0.03731917496543195,0.7833344529578614,0.03664817446758817,0.9987805124876888,1.001664446016623
1.599,0.7976734345437815,-0.03731917145257506,0.7833344389350239,0.03664817231757064,0.9987805119301604,1.001664446115921
1.6,0.7976734204471486,-0.03731916797248237,0.7833344250640819,0.03664817019040945,0.9987805113785078,1.001664446214041
1.601,0.7976734065050686,-0.03731916452485569,0.783334411345021,0.03664816808586988,0.9987805108326431,1.001664446310927
1.602,0.7976733927175991,-0.03731916110939979,0.7833343977778472,0.03664816600371813,0.9987805102924778,1.001664446406523
1.603,0.7976733790848194,-0.03731915772582252,0.7833343843625878,0.03664816394372107,0.9987805097579239,1.001664446500772
1.604,0.7976733656068313,-0.0373191543738347,0.783334371099292,0.03664816190564681,0.9987805092288926,1.001664446593618
1.605,0.7976733522837581,-0.0373191510531501,0.7833343579880298,0.03664815988926437,0.9987805087052958,1.001664446685003
1.606,0.7976733391157459,-0.03731914776348562,0.7833343450288917,0.03664815789434331,0.9987805081870449,1.001664446774867
1.607,0.7976733261029622,-0.03731914450456106,0.7833343322219903,0.03664815592065459,0.9987805076740515,1.00166444686315
1.608,0.7976733132455966,-0.03731914127609923,0.783334319567459,0.03664815396796975,0.9987805071662272,1.001664446949794
1.609,0.7976733005438613,-0.037319138077826,0.7833343070654525,0.03664815203606138,0.9987805066634832,1.001664447034736
1.61,0.7976732879979899,-0.03731913490947023,0.7833342947161468,0.03664815012470292,0.9987805061657312,1.001664447117917
1.611,0.7976732756082381,-0.03731913177076378,0.7833342825197385,0.0366481482336688,0.9987805056728823,1.001664447199272
1.612,0.797673263374884,-0.03731912866144148,0.7833342704764457,0.0366481463627343,0.9987805051848481,1.001664447278739
1.613,0.7976732512982279,-0.03731912558124119,0.7833342585865082,0.03664814451167573,0.9987805047015399,1.001664447356255
1.614,0.7976732393785915,-0.03731912252990382,0.7833342468501863,0.03664814268027008,0.9987805042228686,1.001664447431754
1.615,0.7976732276163188,-0.03731911950717322,0.7833342352677615,0.03664814086829545,0.9987805037487459,1.001664447505173
1.616,0.797673216011776,-0.03731911651279632,0.7833342238395368,0.03664813907553087,0.9987805032790827,1.001664447576445
1.617,0.7976732045653513,-0.03731911354652295,0.7833342125658364,0.03664813730175614,0.9987805028137903,1.001664447645504
1.618,0.7976731932774551,-0.03731911060810598,0.7833342014470052,0.03664813554675211,0.9987805023527797,1.001664447712282
1.619,0.7976731821485192,-0.03731910769730139,0.7833341904834102,0.03664813381030044,0.9987805018959621,1.001664447776711
1.62,0.7976731711789985,-0.03731910481386803,0.7833341796754384,0.03664813209218373,0.9987805014432484,1.001664447838724
1.621,0.7976731603693689,-0.03731910195756779,0.7833341690234989,0.03664813039218562,0.9987805009945497,1.00166444789825
1.622,0.7976731497201287,-0.03731909912816563,0.7833341585280216,0.03664812871009044,0.9987805005497771,1.001664447955219
1.623,0.7976731392317987,-0.03731909632542944,0.7833341481894573,0.03664812704568356,0.9987805001088412,1.001664448009562
1.624,0.7976731289049211,-0.03731909354913018,0.7833341380082787,0.03664812539875139,0.9987804996716532,1.001664448061206
1.625,0.7976731187400609,-0.03731909079904173,0.7833341279849788,0.03664812376908095,0.9987804992381236,1.001664448110078
1.626,0.7976731087378039,-0.03731908807494107,0.7833341181200733,0.03664812215646052,0.9987804988081637,1.001664448156108
1.627,0.7976730988987594,-0.03731908537660814,0.7833341084140971,0.03664812056067897,0.9987804983816839,1.00166444819922
