time;GFLVSC_controlGFL_activePowerLoop_idRefPu;GFLVSC_controlGFL_reactivePowerLoop_iqRefPu;GFLVSC_injectorGFL_PGenPu;GFLVSC_injectorGFL_QGenPu;GFLVSC_injectorGFL_UConvPu;GFLVSC_injectorGFL_UPccPu;
1.158267;0.797674;-0.037296;0.783332;0.036634;0.998775;1.001661;
1.160827;0.797674;-0.037297;0.783332;0.036635;0.998775;1.001661;
1.165947;0.797674;-0.037298;0.783332;0.036635;0.998776;1.001661;
1.176187;0.797674;-0.037300;0.783333;0.036637;0.998776;1.001662;
1.196667;0.797674;-0.037304;0.783333;0.036639;0.998777;1.001662;
1.237627;0.797674;-0.037309;0.783333;0.036642;0.998778;1.001663;
1.319547;0.797673;-0.037315;0.783334;0.036645;0.998779;1.001664;
1.483387;0.797673;-0.037319;0.783334;0.036648;0.998780;1.001664;
1.811067;0.797672;-0.037318;0.783333;0.036647;0.998780;1.001664;
2.000000;0.797672;-0.037318;0.783333;0.036647;0.998780;1.001664;
