"time","InjectorGFL.PGenPu","InjectorGFL.QGenPu","InjectorGFL.UConvPu","InjectorGFL.UPccPu"
0,0.8333389297485703,0.0391685912672541,0.9987872558167199,1.000006746960555
0.001,0.8333388642945118,0.03916834752698853,0.9987871650798945,1.000006691675958
0.002,0.8333387454363141,0.03916792940529597,0.9987870095560143,1.000006597146349
0.003,0.8333386147987781,0.03916747565304821,0.9987868408115714,1.000006494638574
0.004,0.8333384745501804,0.03916699352226235,0.9987866615419021,1.000006385787179
0.005,0.8333383377125813,0.03916652659863054,0.9987864879466108,1.000006280416503
0.006,0.8333382017897578,0.03916606652768816,0.9987863169205776,1.000006176643434
0.007,0.8333380724375771,0.03916563150684401,0.9987861552229662,1.000006078559471
0.008,0.8333379490797069,0.03916521967101479,0.9987860021609584,1.000005985745118
0.008999999999999999,0.8333378309932034,0.03916482868067213,0.9987858568654917,1.000005897674161
0.01,0.8333377181780722,0.03916445853580587,0.9987857193365666,1.0000058143466
0.011,0.833337618741868,0.03916414096121993,0.9987856013924772,1.000005742977476
0.012,0.8333375224818477,0.03916383584121199,0.9987854880881485,1.000005674441147
0.013,0.8333374262218196,0.03916353072124468,0.9987853747838198,1.000005605904817
0.014,0.8333373299617842,0.03916322560131809,0.998785261479491,1.000005537368488
0.015,0.8333372468826782,0.03916296842680496,0.9987851660177305,1.000005479692737
0.016,0.8333371704435908,0.03916273540525068,0.9987850795443316,1.000005427488104
0.017,0.8333370940045021,0.03916250238372038,0.9987849930709327,1.000005375283472
0.01736307531487389,0.8333370662513553,0.03916241777936067,0.9987849616745762,1.000005356329258
0.01736307531487389,0.8333370662513553,0.03916241777936067,0.9987849616745762,1.000005356329258
0.018,0.8333370105103726,0.03916224378069204,0.9987848970779681,1.000005317285158
0.019,0.833336925357407,0.0391619794214644,0.9987847989443641,1.000005257986518
0.02,0.8333368428678107,0.03916172493123689,0.9987847044844181,1.000005200925726
0.021,0.8333367627064772,0.03916147886727092,0.9987846131600122,1.000005145773093
0.022,0.8333366849207525,0.0391612414334097,0.9987845250471773,1.000005092575203
0.023,0.8333366092648297,0.03916101155944668,0.998784439746689,1.000005041087366
0.024,0.8333365353704414,0.03916078764200438,0.9987843566604303,1.000004990942991
0.025,0.8333364634650771,0.03916057067152866,0.9987842761578738,1.000004942368532
0.026,0.8333363935487371,0.03916036064801751,0.99878419823902,1.000004895363988
0.027,0.8333363256214225,0.0391601575714691,0.9987841229038688,1.000004849929359
0.028,0.8333362594210386,0.03915996034258986,0.9987840497425335,1.000004805813755
0.029,0.8333361938879483,0.03915976451698883,0.9987839770978619,1.000004762002842
0.03,0.8333361298655356,0.03915957363203102,0.9987839062888102,1.000004719303946
0.031,0.8333360673537999,0.03915938768771508,0.9987838373153781,1.000004677717067
0.032,0.8333360063527423,0.03915920668403993,0.9987837701775658,1.000004637242206
0.033,0.8333359468623625,0.03915903062100435,0.9987837048753733,1.000004597879361
0.034,0.8333358888826606,0.03915885949860712,0.9987836414088004,1.000004559628533
0.035,0.8333358324136372,0.03915869331684724,0.9987835797778474,1.000004522489723
0.036,0.8333357774552916,0.03915853207572354,0.998783519982514,1.00000448646293
0.037,0.8333357240076248,0.03915837577523496,0.9987834620228005,1.000004451548153
0.038,0.8333356720706367,0.03915822441538062,0.9987834058987067,1.000004417745394
0.039,0.8333356195082535,0.03915806984869874,0.9987833485761529,1.000004383204228
0.04,0.8333355673676187,0.03915791606923066,0.998783291542503,1.000004348831769
0.041,0.8333355162403223,0.03915776533342924,0.9987832356380507,1.000004315140494
0.042,0.8333354661263637,0.0391576176412937,0.9987831808627958,1.000004282130404
0.043,0.8333354170257434,0.03915747299282355,0.9987831272167383,1.000004249801498
0.044,0.8333353689384612,0.03915733138801814,0.9987830746998784,1.000004218153777
0.045,0.833335321864517,0.03915719282687694,0.998783023312216,1.00000418718724
0.046,0.8333352758039113,0.03915705730939945,0.9987829730537511,1.000004156901887
0.047,0.8333352307566433,0.039156924835585,0.9987829239244835,1.000004127297719
0.048,0.8333351867227138,0.03915679540543316,0.9987828759244136,1.000004098374736
0.049,0.8333351437021222,0.03915666901894332,0.9987828290535412,1.000004070132937
0.05,0.8333351016948688,0.03915654567611503,0.9987827833118662,1.000004042572322
0.051,0.8333350607009536,0.03915642537694779,0.9987827386993887,1.000004015692892
0.052,0.8333350207203766,0.03915630812144109,0.9987826952161086,1.000003989494646
0.053,0.8333349817531376,0.03915619390959447,0.9987826528620262,1.000003963977585
0.054,0.833334943799237,0.03915608274140753,0.998782611637141,1.000003939141708
0.055,0.8333349068586743,0.03915597461687972,0.9987825715414534,1.000003914987015
0.056,0.8333348709314493,0.03915586953601059,0.9987825325749634,1.000003891513507
0.057,0.833334836017563,0.03915576749879987,0.9987824947376709,1.000003868721184
0.058,0.8333348021170145,0.03915566850524698,0.9987824580295757,1.000003846610045
0.059,0.8333347692298041,0.03915557255535169,0.9987824224506781,1.00000382518009
0.06,0.8333347346122859,0.03915547031598193,0.998782384531207,1.000003802325497
0.061,0.833334700423156,0.03915536913043072,0.9987823470011727,1.000003779703123
0.062,0.8333346669660293,0.03915527003151291,0.9987823102445439,1.000003757546001
0.063,0.8333346342409059,0.03915517301922836,0.9987822742613205,1.000003735854132
0.064,0.8333346022477853,0.03915507809357675,0.9987822390515025,1.000003714627514
0.065,0.8333345709866679,0.03915498525455771,0.99878220461509,1.000003693866149
0.066,0.833334540457553,0.03915489450217108,0.998782170952083,1.000003673570037
0.067,0.8333345106604414,0.03915480583641658,0.9987821380624814,1.000003653739177
