"time","InjectorGFL.PGenPu","InjectorGFL.QGenPu","InjectorGFL.UConvPu","InjectorGFL.UPccPu","PGenRefPu.y","UConvRefPu.y"
0,0.8333389297485702,0.03916859126725408,0.9987872558167196,1.000006746960555,0.8333333333333334,0.9987804448564415
0.001,0.8333388642914931,0.03916834751703394,0.9987871650761956,1.000006691673716,0.8333333333333334,0.9987804448564415
0.002,0.8333387454296929,0.03916792938331434,0.9987870095478456,1.000006597141397,0.8333333333333334,0.9987804448564415
0.003,0.8333386147748,0.03916747557291662,0.9987868407817894,1.000006494620514,0.8333333333333334,0.9987804448564415
0.004,0.8333384745403146,0.03916699348928916,0.998786661529647,1.000006385779747,0.8333333333333334,0.9987804448564415
0.005,0.8333383376997773,0.03916652655434584,0.9987864879301429,1.000006280406501,0.8333333333333334,0.9987804448564415
0.006,0.833338201789112,0.03916606652146904,0.9987863169182422,1.000006176641975,0.8333333333333334,0.9987804448564415
0.007,0.8333380724358885,0.03916563149682921,0.9987861552192183,1.000006078557153,0.8333333333333334,0.9987804448564415
0.008,0.8333379490792738,0.03916521966539717,0.9987860021588459,1.000005985743793,0.8333333333333334,0.9987804448564415
0.008999999999999999,0.8333378309927425,0.0391648286759288,0.9987858568637098,1.000005897673047,0.8333333333333334,0.9987804448564415
0.01,0.8333377181763003,0.03916445852841358,0.9987857193338107,1.000005814344914,0.8333333333333334,0.9987804448564415
0.011,0.8333376187300052,0.03916414091458868,0.9987856013751049,1.000005742966868,0.8333333333333334,0.9987804448564415
0.012,0.8333375224740267,0.0391638358097523,0.9987854880764248,1.000005674433982,0.8333333333333334,0.9987804448564415
0.013,0.8333374262180405,0.03916353070495664,0.9987853747777445,1.000005605901095,0.8333333333333334,0.9987804448564415
0.014,0.8333373299620467,0.03916322560020172,0.9987852614790642,1.000005537368209,0.8333333333333334,0.9987804448564415
0.015,0.833337246866048,0.03916296836434971,0.9987851659944776,1.000005479678565,0.8333333333333334,0.9987804448564415
0.016,0.8333371704293259,0.03916273535132228,0.9987850795242514,1.000005427475862,0.8333333333333334,0.9987804448564415
0.017,0.8333370939926019,0.03916250233831876,0.9987849930540251,1.00000537527316,0.8333333333333334,0.9987804448564415
0.01736248384264157,0.8333370662855244,0.03916241787487575,0.9987849617099656,1.000005356350524,0.8333333333333334,0.9987804448564415
0.01736248384264157,0.8333370662855244,0.03916241787487575,0.9987849617099656,1.000005356350524,0.8333333333333334,0.9987804448564415
0.018,0.8333370104932258,0.03916224371633886,0.9987848970540089,1.000005317270555,0.8333333333333334,0.9987804448564415
0.019,0.8333369253414612,0.03916197936192405,0.9987847989221981,1.000005257973011,0.8333333333333334,0.9987804448564415
0.02,0.8333368428529355,0.03916172487622345,0.9987847044639407,1.000005200913253,0.8333333333333334,0.9987804448564415
0.021,0.8333367626921653,0.03916147881459429,0.9987846131404055,1.000005145761153,0.8333333333333334,0.9987804448564415
0.022,0.8333366849064278,0.03916124138061532,0.9987845250275266,1.000005092563235,0.8333333333333334,0.9987804448564415
0.023,0.833336609252937,0.039161011517215,0.9987844397309782,1.000005041077813,0.8333333333333334,0.9987804448564415
0.024,0.8333365353586664,0.03916078760025646,0.9987843566449,1.000004990933549,0.8333333333333334,0.9987804448564415
0.025,0.8333364634527813,0.03916057062750258,0.9987842761414939,1.000004942358568,0.8333333333333334,0.9987804448564415
0.026,0.8333363935352815,0.03916036059895155,0.9987841982207597,1.000004895352872,0.8333333333333334,0.9987804448564415
0.027,0.8333363256061684,0.03916015751460127,0.9987841228826982,1.000004849916459,0.8333333333333334,0.9987804448564415
