time;GFLVSC_injectorGFL_PGenPu;GFLVSC_injectorGFL_QGenPu;GFLVSC_injectorGFL_UConvPu;GFLVSC_injectorGFL_UPccPu;
1.147769;0.833330;0.575704;1.180948;1.114672;
1.147779;0.833330;0.575704;1.180948;1.114672;
1.147799;0.833330;0.575704;1.180948;1.114672;
1.147839;0.833330;0.575704;1.180948;1.114672;
1.147919;0.833330;0.575704;1.180948;1.114672;
1.148079;0.833330;0.575704;1.180948;1.114672;
1.148399;0.833330;0.575704;1.180948;1.114671;
1.149039;0.833330;0.575704;1.180948;1.114671;
1.150319;0.833330;0.575704;1.180948;1.114671;
1.152879;0.833330;0.575703;1.180948;1.114671;
1.157999;0.833330;0.575701;1.180947;1.114671;
1.168239;0.833330;0.575698;1.180947;1.114670;
1.188719;0.833330;0.575694;1.180945;1.114669;
1.229679;0.833330;0.575686;1.180943;1.114668;
1.311599;0.833331;0.575678;1.180940;1.114666;
1.475439;0.833332;0.575672;1.180938;1.114665;
1.639279;0.833333;0.575672;1.180938;1.114665;
1.966959;0.833333;0.575672;1.180938;1.114665;
2.000000;0.833333;0.575673;1.180939;1.114665;
