time;GFLVSC_controlGFL_activePowerLoop_idRefPu;GFLVSC_controlGFL_reactivePowerLoop_iqRefPu;GFLVSC_injectorGFL_PGenPu;GFLVSC_injectorGFL_QGenPu;GFLVSC_injectorGFL_UConvPu;GFLVSC_injectorGFL_UPccPu;
0.672063;0.998742;-0.049352;0.974334;0.048826;0.999318;0.995073;
0.692543;0.998767;-0.048971;0.974253;0.048367;0.999146;0.994965;
0.733503;0.998794;-0.048618;0.974162;0.047853;0.998953;0.994845;
0.774463;0.998808;-0.048472;0.974114;0.047581;0.998851;0.994781;
0.815423;0.998815;-0.048430;0.974090;0.047447;0.998801;0.994750;
0.897343;0.998819;-0.048458;0.974077;0.047373;0.998773;0.994733;
0.979263;0.998820;-0.048502;0.974075;0.047363;0.998769;0.994730;
1.143103;0.998819;-0.048554;0.974077;0.047374;0.998774;0.994733;
1.470783;0.998819;-0.048585;0.974079;0.047386;0.998778;0.994736;
2.000000;0.998819;-0.048594;0.974080;0.047390;0.998780;0.994737;
