"time","GridFollowingControl.activePowerLoop.idRefPu","GridFollowingControl.reactivePowerLoop.iqRefPu","InjectorGFL.PGenPu","InjectorGFL.QGenPu","InjectorGFL.UConvPu","InjectorGFL.UPccPu"
0,0.85,-0.03994999999999998,0.8333389297485703,0.03916859126725412,0.9987872558167199,1.000006746960555
0.001,0.8499999440774338,-0.03994965974241232,0.8333388546500752,0.03916831599464111,0.9987871533646007,1.000006684578944
0.002,0.8499998898550329,-0.0399493306540401,0.833338730703839,0.03916788278083997,0.9987869922428155,1.00000658667463
0.003,0.8499998383411537,-0.03994901889154278,0.8333385997546363,0.03916743355470157,0.9987868252134147,1.000006485264935
0.004,0.8499997869592968,-0.03994870797336249,0.8333384684878981,0.03916698362776418,0.998786657925645,1.000006383702319
0.005,0.8499997379838766,-0.03994841218860698,0.8333383417797834,0.03916655540374714,0.9987864987421987,1.000006287121713
0.006,0.8499996892610661,-0.03994811799244304,0.833338215550173,0.03916612945800675,0.9987863404094821,1.000006191064081
0.007,0.8499996444919116,-0.03994784794188291,0.8333381023010193,0.03916575610812045,0.9987862016790937,1.000006106989644
0.008,0.8499996003824686,-0.03994758192028589,0.8333379912177872,0.03916539153448469,0.9987860662195721,1.000006024914738
0.008999999999999999,0.8499995562730257,-0.03994731589868885,0.8333378801345384,0.03916502696090655,0.9987859307600506,1.000005942839833
0.01,0.8499995121635828,-0.0399470498770918,0.8333377690512728,0.03916466238738611,0.9987857953005289,1.000005860764928
0.011,0.8499994711139789,-0.03994680203505296,0.8333376682829933,0.03916433798961306,0.9987856748065229,1.000005787824774
0.012,0.8499994310253494,-0.03994655990249425,0.8333375707542376,0.03916402620947913,0.9987855590125934,1.000005717753484
0.013,0.8499993909367197,-0.03994631776993555,0.8333374732254736,0.03916371442938776,0.9987854432186639,1.000005647682195
0.014,0.8499993508480902,-0.03994607563737684,0.8333373756967003,0.03916340264933879,0.9987853274247342,1.000005577610906
0.015,0.8499993150166016,-0.03994585780667027,0.8333372911450146,0.03916313864447052,0.9987852294131171,1.000005518368983
0.016,0.8499992813296878,-0.03994565221825009,0.8333372131306604,0.03916289870680553,0.9987851403595069,1.000005464582455
0.017,0.8499992476427741,-0.03994544662982991,0.8333371351163037,0.03916265876916569,0.9987850513058968,1.000005410795927
0.018,0.8499992139558603,-0.03994524104140974,0.8333370571019454,0.03916241883155123,0.9987849622522866,1.000005357009399
0.019,0.8499991802689466,-0.03994503545298956,0.8333369790875844,0.039162178893962,0.9987848731986765,1.000005303222872
0.02,0.8499991465820328,-0.03994482986456938,0.8333369010732216,0.03916193895639817,0.9987847841450663,1.000005249436344
0.021,0.8499991128951191,-0.0399446242761492,0.8333368230588568,0.03916169901885962,0.9987846950914562,1.000005195649817
0.022,0.8499990792082054,-0.03994441868772904,0.83333674504449,0.03916145908134637,0.9987846060378462,1.00000514186329
0.023,0.8499990497773523,-0.03994423651872245,0.8333366779477757,0.0391612555329679,0.9987845305082043,1.000005096276856
0.024,0.849999025088453,-0.03994408044280459,0.8333366230151287,0.03916109252807342,0.9987844700464935,1.000005059826677
0.025,0.8499990003995536,-0.03994392436688675,0.8333365680824828,0.03916092952319072,0.9987844095847828,1.000005023376498
0.026,0.8499989757106542,-0.03994376829096891,0.8333365131498379,0.03916076651831979,0.998784349123072,1.000004986926319
0.027,0.8499989510217549,-0.03994361221505106,0.8333364582171937,0.03916060351346058,0.9987842886613612,1.000004950476141
0.028,0.8499989263328555,-0.03994345613913322,0.8333364032845504,0.03916044050861307,0.9987842281996504,1.000004914025962
0.029,0.8499989016439561,-0.03994330006321536,0.8333363483519084,0.03916027750377739,0.9987841677379395,1.000004877575783
0.03,0.8499988769550568,-0.03994314398729751,0.833336293419267,0.03916011449895341,0.9987841072762288,1.000004841125604
0.031,0.8499988522661573,-0.03994298791137967,0.8333362384866266,0.03915995149414114,0.9987840468145179,1.000004804675425
0.032,0.849998827577258,-0.03994283183546184,0.8333361835539873,0.03915978848934069,0.9987839863528071,1.000004768225246
0.033,0.8499988028883587,-0.03994267575954397,0.8333361286213488,0.03915962548455201,0.9987839258910963,1.000004731775068
0.034,0.8499987781994592,-0.03994251968362613,0.8333360736887113,0.03915946247977505,0.9987838654293854,1.000004695324889
0.035,0.8499987535105599,-0.03994236360770829,0.8333360187560744,0.03915929947500978,0.9987838049676746,1.00000465887471
0.036,0.8499987288216606,-0.03994220753179045,0.8333359638234389,0.03915913647025633,0.9987837445059639,1.000004622424531
0.037,0.8499987041327611,-0.0399420514558726,0.8333359088908042,0.03915897346551462,0.998783684044253,1.000004585974352
0.038,0.8499986794438618,-0.03994189537995475,0.83333585395817,0.03915881046078463,0.998783623582542,1.000004549524174
0.039,0.8499986553396612,-0.03994174249574661,0.8333358003436175,0.0391586514502645,0.9987835646029107,1.000004513968464
0.04,0.8499986372204117,-0.0399416222817358,0.8333357602208744,0.03915853332418485,0.9987835207937791,1.000004487568494
0.041,0.849998619101162,-0.03994150206772498,0.8333357200981326,0.0391584151981114,0.9987834769846472,1.000004461168525
0.042,0.8499986009819125,-0.03994138185371416,0.8333356799753918,0.03915829707204419,0.9987834331755154,1.000004434768556
0.043,0.8499985828626629,-0.03994126163970334,0.8333356398526522,0.03915817894598309,0.9987833893663837,1.000004408368587
0.044,0.8499985647434133,-0.03994114142569252,0.8333355997299134,0.03915806081992829,0.9987833455572519,1.000004381968618
0.045,0.8499985466241637,-0.0399410212116817,0.8333355596071762,0.03915794269387963,0.9987833017481201,1.000004355568648
