time;GFLVSC_controlGFL_activePowerLoop_idRefPu;GFLVSC_controlGFL_reactivePowerLoop_iqRefPu;GFLVSC_injectorGFL_PGenPu;GFLVSC_injectorGFL_QGenPu;GFLVSC_injectorGFL_UConvPu;GFLVSC_injectorGFL_UPccPu;
3.021305;0.475018;-0.834176;0.000067;0.111995;0.262736;0.112291;
3.021306;0.475028;-0.834213;0.000067;0.111995;0.262737;0.112291;
3.021307;0.475038;-0.834250;0.000067;0.111996;0.262737;0.112291;
3.021309;0.475058;-0.834324;0.000067;0.111996;0.262738;0.112292;
3.021313;0.475098;-0.834471;0.000066;0.111997;0.262739;0.112292;
3.021321;0.475178;-0.834765;0.000066;0.112000;0.262742;0.112294;
3.021337;0.475338;-0.835354;0.000066;0.112007;0.262750;0.112297;
3.021351;0.475476;-0.835863;0.000066;0.112014;0.262759;0.112301;
3.021351;0.475476;-0.835863;0.000066;0.112014;0.262759;0.112301;
3.021352;0.475466;-0.835900;0.000066;0.112015;0.262759;0.112301;
3.021353;0.475442;-0.835936;0.000066;0.112015;0.262760;0.112301;
3.021355;0.475374;-0.836010;0.000066;0.112016;0.262761;0.112302;
3.021359;0.475192;-0.836157;0.000066;0.112019;0.262764;0.112303;
3.021367;0.474785;-0.836452;0.000066;0.112024;0.262770;0.112306;
3.021383;0.473946;-0.837040;0.000066;0.112033;0.262781;0.112310;
3.021415;0.472282;-0.838218;0.000066;0.112051;0.262802;0.112319;
3.021479;0.468935;-0.840573;0.000066;0.112084;0.262840;0.112336;
3.021607;0.462156;-0.845283;0.000065;0.112139;0.262905;0.112364;
3.021863;0.448282;-0.854701;0.000064;0.112215;0.262994;0.112402;
3.022375;0.419266;-0.873535;0.000062;0.112267;0.263055;0.112429;
3.023399;0.355176;-0.911211;0.000057;0.112151;0.262918;0.112373;
3.024423;0.277784;-0.948912;0.000051;0.111733;0.262430;0.112167;
3.025314;0.194756;-0.981750;0.000044;0.111599;0.262268;0.112100;
3.025694;0.146799;-0.995727;0.000041;0.111435;0.262075;0.112019;
3.025810;0.128380;-1.000000;0.000040;0.111363;0.261991;0.111983;
3.025810;0.128380;-1.000000;0.000040;0.111345;0.261969;0.111973;
3.025811;0.128390;-1.000000;0.000040;0.111345;0.261969;0.111973;
3.025812;0.128400;-1.000000;0.000040;0.111345;0.261969;0.111973;
3.025814;0.128420;-1.000000;0.000040;0.111344;0.261968;0.111973;
3.025816;0.128442;-1.000000;0.000039;0.111344;0.261968;0.111973;
3.025816;0.128442;-1.000000;0.000039;0.111344;0.261968;0.111973;
3.025817;0.128396;-1.000000;0.000039;0.111344;0.261968;0.111973;
3.025818;0.128311;-1.000000;0.000039;0.111344;0.261967;0.111973;
3.025820;0.128088;-1.000000;0.000039;0.111343;0.261967;0.111973;
3.025824;0.127517;-1.000000;0.000039;0.111342;0.261966;0.111972;
3.025832;0.126260;-1.000000;0.000039;0.111340;0.261963;0.111971;
3.025848;0.123762;-1.000000;0.000039;0.111332;0.261953;0.111967;
3.025880;0.119053;-1.000000;0.000039;0.111304;0.261921;0.111953;
3.025944;0.110602;-1.000000;0.000038;0.111214;0.261815;0.111908;
3.026072;0.097690;-1.000000;0.000037;0.110940;0.261492;0.111770;
3.026200;0.088308;-1.000000;0.000036;0.110619;0.261114;0.111609;
3.026328;0.083645;-1.000000;0.000035;0.110282;0.260715;0.111439;
3.026553;0.081233;-1.000000;0.000033;0.109728;0.260059;0.111159;
3.026553;0.081233;-1.000000;0.000033;0.109730;0.260061;0.111160;
3.026554;0.081215;-1.000000;0.000033;0.109727;0.260058;0.111159;
3.026555;0.081206;-1.000000;0.000033;0.109725;0.260056;0.111157;
3.026557;0.081205;-1.000000;0.000033;0.109720;0.260050;0.111155;
3.026558;0.081208;-1.000000;0.000033;0.109717;0.260047;0.111154;
3.026558;0.081208;-1.000000;0.000033;0.109717;0.260047;0.111154;
3.026559;0.081218;-1.000000;0.000033;0.109715;0.260044;0.111152;
3.026560;0.081228;-1.000000;0.000033;0.109713;0.260041;0.111151;
3.026562;0.081248;-1.000000;0.000033;0.109708;0.260035;0.111149;
